Job_Name,Company_Name,Location,Skills,Yearly Salary
Node js developer,legalbabu corporate services pvt ltd,"Mumbai, Maharashtra","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",400000.0
Backend Developer - Node JS,Rejolut Technology Solutions Pvt Ltd.,"Navi Mumbai, Maharashtra","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",470000.0
Node Js,Webwing Technologies,"Mumbai, Maharashtra","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",540000.0
Sr. Node.js Developer,Multipz Services,"Ahmedabad, Gujarat","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",610000.0
Node.js Developer - Immediate Joiners - Mumbai,BirlaSoft,"Mumbai, Maharashtra","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",680000.0
Immediate Hiring for Node.js Developer,Uttarana Technologies,"JP NAGAR 2ND PHASE, Karnataka","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",750000.0
Node js developer,Ahmedabad Gujarat,"Ahmedabad, Gujarat","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",510000.0
Node js developer,Azinova Technologies,"Thiruvananthapuram, Kerala","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",657500.0
Node.JS Developer,Detecvision Technologies,"Okhla Industrial Estate, Delhi","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",805000.0
NODE JS DEVELOPER,Spericorn Technology,"Thiruvananthapuram, Kerala","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",952500.0
Node js developer,Yobored,"Jaipur, Rajasthan","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization",1100000.0
